timestamp,date,time,open,high,low,close,volume
1735772400000,2025-01-01,23:00:00,2625.098,2626.005,2623.705,2624.898,0.1043
1735772700000,2025-01-01,23:05:00,2624.915,2625.448,2624.405,2625.125,0.0815
1735773000000,2025-01-01,23:10:00,2625.165,2625.295,2624.305,2624.595,0.0709
1735773300000,2025-01-01,23:15:00,2624.595,2624.885,2624.115,2624.215,0.0529
1735773600000,2025-01-01,23:20:00,2624.098,2624.125,2623.248,2623.495,0.0654
1735773900000,2025-01-01,23:25:00,2623.465,2623.905,2623.328,2623.445,0.0452
1735774200000,2025-01-01,23:30:00,2623.458,2623.698,2622.948,2623.055,0.0675
1735774500000,2025-01-01,23:35:00,2623.055,2623.565,2622.495,2622.555,0.033
1735774800000,2025-01-01,23:40:00,2622.555,2622.615,2621.705,2621.705,0.0518
1735775100000,2025-01-01,23:45:00,2621.655,2623.028,2621.475,2622.845,0.0472
1735775400000,2025-01-01,23:50:00,2622.855,2623.875,2622.845,2623.555,0.0578
1735775700000,2025-01-01,23:55:00,2623.665,2624.245,2623.355,2623.555,0.0911
1735776000000,2025-01-02,00:00:00,2623.655,2623.905,2622.448,2622.765,0.1074
1735776300000,2025-01-02,00:05:00,2622.685,2625.305,2622.675,2625.305,0.073
1735776600000,2025-01-02,00:10:00,2625.315,2626.005,2625.005,2625.525,0.1049
1735776900000,2025-01-02,00:15:00,2625.525,2625.598,2625.005,2625.405,0.0974
1735777200000,2025-01-02,00:20:00,2625.405,2626.305,2625.278,2625.965,0.0819
1735777500000,2025-01-02,00:25:00,2625.965,2626.205,2625.505,2626.108,0.0829
1735777800000,2025-01-02,00:30:00,2626.105,2626.205,2625.235,2625.505,0.1121
1735778100000,2025-01-02,00:35:00,2625.535,2626.235,2625.435,2626.115,0.0742
1735778400000,2025-01-02,00:40:00,2626.205,2627.325,2625.925,2626.788,0.0721
1735778700000,2025-01-02,00:45:00,2626.788,2627.765,2626.695,2626.695,0.1229
1735779000000,2025-01-02,00:50:00,2626.715,2627.255,2626.334,2626.565,0.0916
1735779300000,2025-01-02,00:55:00,2626.555,2626.775,2625.155,2625.185,0.2332
1735779600000,2025-01-02,01:00:00,2625.185,2627.155,2623.645,2627.048,0.6512
1735779900000,2025-01-02,01:05:00,2627.055,2630.228,2626.938,2629.355,0.4723
1735780200000,2025-01-02,01:10:00,2629.345,2630.705,2629.245,2629.315,0.2949
1735780500000,2025-01-02,01:15:00,2629.265,2631.798,2629.155,2631.205,0.3707
1735780800000,2025-01-02,01:20:00,2631.185,2631.505,2629.595,2631.235,0.2793
1735781100000,2025-01-02,01:25:00,2631.255,2632.798,2630.198,2632.298,0.2
1735781400000,2025-01-02,01:30:00,2632.398,2634.048,2632.235,2633.848,0.1605
1735781700000,2025-01-02,01:35:00,2633.848,2634.148,2632.478,2632.954,0.151
1735782000000,2025-01-02,01:40:00,2632.965,2633.748,2632.115,2633.298,0.2057
1735782300000,2025-01-02,01:45:00,2633.298,2633.298,2631.534,2632.045,0.2318
1735782600000,2025-01-02,01:50:00,2632.045,2632.685,2631.408,2632.305,0.3035
1735782900000,2025-01-02,01:55:00,2632.335,2633.145,2631.905,2632.735,0.282
1735783200000,2025-01-02,02:00:00,2632.735,2634.505,2632.398,2633.348,0.256
1735783500000,2025-01-02,02:05:00,2633.354,2634.325,2633.048,2634.025,0.2256
1735783800000,2025-01-02,02:10:00,2634.098,2634.548,2633.205,2634.355,0.1853
1735784100000,2025-01-02,02:15:00,2634.365,2634.438,2633.655,2634.045,0.1742
1735784400000,2025-01-02,02:20:00,2633.948,2636.298,2633.785,2635.605,0.1916
1735784700000,2025-01-02,02:25:00,2635.635,2635.635,2634.485,2635.498,0.1757
1735785000000,2025-01-02,02:30:00,2635.498,2635.498,2633.855,2635.048,0.2797
1735785300000,2025-01-02,02:35:00,2634.895,2635.645,2633.898,2635.365,0.2237
1735785600000,2025-01-02,02:40:00,2635.365,2635.365,2632.454,2633.248,0.3462
1735785900000,2025-01-02,02:45:00,2633.054,2633.448,2632.148,2632.748,0.1507
1735786200000,2025-01-02,02:50:00,2632.648,2634.248,2632.448,2633.848,0.1082
1735786500000,2025-01-02,02:55:00,2633.848,2635.148,2633.648,2634.498,0.0678
1735786800000,2025-01-02,03:00:00,2634.404,2635.198,2633.578,2633.948,0.1365
1735787100000,2025-01-02,03:05:00,2633.948,2634.098,2633.324,2633.565,0.11
1735787400000,2025-01-02,03:10:00,2633.565,2633.648,2632.898,2632.945,0.1968
1735787700000,2025-01-02,03:15:00,2632.945,2633.885,2632.775,2633.285,0.1898
1735788000000,2025-01-02,03:20:00,2633.248,2634.548,2632.858,2633.985,0.1315
1735788300000,2025-01-02,03:25:00,2634.048,2634.115,2632.968,2633.155,0.2201
1735788600000,2025-01-02,03:30:00,2633.148,2634.108,2632.848,2633.648,0.0836
1735788900000,2025-01-02,03:35:00,2633.585,2633.645,2632.148,2632.155,0.1634
1735789200000,2025-01-02,03:40:00,2632.165,2633.245,2632.065,2633.245,0.1215
1735789500000,2025-01-02,03:45:00,2633.198,2633.635,2632.795,2633.025,0.1003
1735789800000,2025-01-02,03:50:00,2633.005,2633.035,2632.545,2632.555,0.0848
1735790100000,2025-01-02,03:55:00,2632.575,2633.548,2632.545,2633.448,0.0566
1735790400000,2025-01-02,04:00:00,2633.468,2633.468,2632.165,2632.875,0.0953
1735790700000,2025-01-02,04:05:00,2632.855,2632.875,2631.915,2632.548,0.1174
1735791000000,2025-01-02,04:10:00,2632.554,2633.048,2632.065,2632.065,0.0523
1735791300000,2025-01-02,04:15:00,2632.064,2632.764,2632.034,2632.424,0.0634
1735791600000,2025-01-02,04:20:00,2632.414,2632.774,2631.884,2632.284,0.0885
1735791900000,2025-01-02,04:25:00,2632.254,2632.964,2632.148,2632.245,0.1282
1735792200000,2025-01-02,04:30:00,2632.148,2632.698,2631.885,2632.198,0.0834
1735792500000,2025-01-02,04:35:00,2632.198,2632.435,2631.898,2632.025,0.0897
1735792800000,2025-01-02,04:40:00,2631.985,2632.305,2631.798,2631.964,0.0682
1735793100000,2025-01-02,04:45:00,2631.925,2632.598,2630.858,2632.348,0.1322
1735793400000,2025-01-02,04:50:00,2632.348,2633.718,2632.338,2633.614,0.0831
1735793700000,2025-01-02,04:55:00,2633.604,2634.048,2633.398,2633.754,0.1189
1735794000000,2025-01-02,05:00:00,2633.754,2634.154,2633.034,2633.068,0.1388
1735794300000,2025-01-02,05:05:00,2633.048,2633.448,2632.864,2633.174,0.0823
1735794600000,2025-01-02,05:10:00,2633.188,2633.748,2632.948,2633.204,0.0626
1735794900000,2025-01-02,05:15:00,2633.194,2634.064,2633.148,2634.048,0.0725
1735795200000,2025-01-02,05:20:00,2634.048,2634.098,2633.498,2634.098,0.059
1735795500000,2025-01-02,05:25:00,2634.198,2635.148,2634.048,2634.648,0.0566
1735795800000,2025-01-02,05:30:00,2634.574,2635.654,2634.304,2635.204,0.2081
1735796100000,2025-01-02,05:35:00,2635.194,2635.998,2634.704,2635.384,0.0743
1735796400000,2025-01-02,05:40:00,2635.448,2636.284,2634.648,2634.664,0.0919
1735796700000,2025-01-02,05:45:00,2634.734,2634.922,2633.804,2634.898,0.1699
1735797000000,2025-01-02,05:50:00,2634.998,2635.198,2634.254,2634.274,0.1322
1735797300000,2025-01-02,05:55:00,2634.134,2634.304,2633.748,2633.874,0.1689
1735797600000,2025-01-02,06:00:00,2633.748,2633.824,2631.698,2632.464,0.3691
1735797900000,2025-01-02,06:05:00,2632.498,2632.734,2631.674,2632.384,0.3576
1735798200000,2025-01-02,06:10:00,2632.414,2632.824,2631.348,2631.574,0.182
1735798500000,2025-01-02,06:15:00,2631.548,2632.148,2630.998,2632.048,0.2008
1735798800000,2025-01-02,06:20:00,2631.948,2632.948,2631.804,2632.754,0.1011
1735799100000,2025-01-02,06:25:00,2632.778,2634.304,2632.728,2634.094,0.2083
1735799400000,2025-01-02,06:30:00,2634.074,2634.274,2633.508,2633.538,0.2026
1735799700000,2025-01-02,06:35:00,2633.694,2633.848,2633.248,2633.748,0.2262
1735800000000,2025-01-02,06:40:00,2633.748,2634.485,2633.554,2633.954,0.2304
1735800300000,2025-01-02,06:45:00,2633.964,2635.244,2633.468,2633.595,0.1884
1735800600000,2025-01-02,06:50:00,2633.525,2634.494,2633.444,2633.848,0.2093
1735800900000,2025-01-02,06:55:00,2633.848,2634.524,2633.555,2633.974,0.2341
1735801200000,2025-01-02,07:00:00,2633.954,2634.135,2633.328,2634.135,0.2087
1735801500000,2025-01-02,07:05:00,2634.098,2634.914,2633.948,2634.134,0.2141
1735801800000,2025-01-02,07:10:00,2634.194,2634.654,2633.998,2634.214,0.1618
1735802100000,2025-01-02,07:15:00,2634.184,2634.748,2633.404,2634.648,0.1604
1735802400000,2025-01-02,07:20:00,2634.625,2635.348,2634.185,2635.348,0.1599
1735802700000,2025-01-02,07:25:00,2635.348,2635.798,2634.085,2634.125,0.1629
1735803000000,2025-01-02,07:30:00,2634.075,2634.104,2632.828,2633.055,0.2296
1735803300000,2025-01-02,07:35:00,2633.055,2633.955,2632.874,2633.348,0.1701
1735803600000,2025-01-02,07:40:00,2633.328,2633.845,2632.948,2633.415,0.0946
1735803900000,2025-01-02,07:45:00,2633.415,2633.448,2632.798,2633.348,0.1562
1735804200000,2025-01-02,07:50:00,2633.348,2634.548,2633.105,2634.448,0.1006
1735804500000,2025-01-02,07:55:00,2634.448,2635.898,2634.188,2635.848,0.1272
1735804800000,2025-01-02,08:00:00,2635.704,2636.248,2634.948,2635.705,0.1592
1735805100000,2025-01-02,08:05:00,2635.834,2636.838,2635.045,2635.055,0.257
1735805400000,2025-01-02,08:10:00,2635.068,2635.305,2633.765,2634.948,0.189
1735805700000,2025-01-02,08:15:00,2634.935,2634.955,2633.425,2634.355,0.2272
1735806000000,2025-01-02,08:20:00,2634.295,2634.465,2632.455,2632.535,0.2898
1735806300000,2025-01-02,08:25:00,2632.515,2633.095,2631.155,2633.085,0.2971
1735806600000,2025-01-02,08:30:00,2633.075,2633.688,2630.985,2633.574,0.2737
1735806900000,2025-01-02,08:35:00,2633.595,2634.098,2633.168,2633.785,0.2185
1735807200000,2025-01-02,08:40:00,2633.755,2636.715,2633.428,2636.034,0.2839
1735807500000,2025-01-02,08:45:00,2636.048,2637.558,2635.518,2635.748,0.2269
1735807800000,2025-01-02,08:50:00,2635.748,2636.448,2635.124,2635.448,0.1463
1735808100000,2025-01-02,08:55:00,2635.448,2636.948,2635.348,2636.348,0.1678
1735808400000,2025-01-02,09:00:00,2636.365,2639.708,2636.365,2638.234,0.3741
1735808700000,2025-01-02,09:05:00,2638.174,2639.264,2637.898,2638.134,0.3013
1735809000000,2025-01-02,09:10:00,2638.134,2638.948,2637.064,2638.048,0.2279
1735809300000,2025-01-02,09:15:00,2638.004,2638.454,2637.548,2638.024,0.1566
1735809600000,2025-01-02,09:20:00,2638.004,2638.155,2637.034,2637.244,0.1923
1735809900000,2025-01-02,09:25:00,2637.254,2639.785,2637.168,2637.198,0.2188
1735810200000,2025-01-02,09:30:00,2637.298,2638.305,2637.068,2637.835,0.2923
1735810500000,2025-01-02,09:35:00,2637.835,2637.865,2636.525,2636.715,0.2829
1735810800000,2025-01-02,09:40:00,2636.698,2637.548,2636.598,2636.998,0.2499
1735811100000,2025-01-02,09:45:00,2636.998,2637.748,2636.448,2637.248,0.1531
1735811400000,2025-01-02,09:50:00,2637.248,2637.448,2636.178,2636.648,0.1521
1735811700000,2025-01-02,09:55:00,2636.648,2637.248,2635.858,2635.915,0.1885
1735812000000,2025-01-02,10:00:00,2635.915,2635.965,2633.415,2633.548,0.3187
1735812300000,2025-01-02,10:05:00,2633.548,2635.448,2632.535,2635.365,0.3254
1735812600000,2025-01-02,10:10:00,2635.385,2638.815,2635.248,2638.735,0.3406
1735812900000,2025-01-02,10:15:00,2638.725,2643.685,2637.935,2643.155,0.3599
1735813200000,2025-01-02,10:20:00,2643.145,2646.098,2642.548,2645.265,0.4102
1735813500000,2025-01-02,10:25:00,2645.285,2645.965,2644.248,2644.598,0.4139
1735813800000,2025-01-02,10:30:00,2644.568,2645.348,2642.958,2643.754,0.4337
1735814100000,2025-01-02,10:35:00,2643.734,2645.548,2642.948,2644.314,0.366
1735814400000,2025-01-02,10:40:00,2644.314,2645.058,2643.418,2643.748,0.306
1735814700000,2025-01-02,10:45:00,2643.714,2643.924,2642.144,2642.864,0.3855
1735815000000,2025-01-02,10:50:00,2642.814,2643.554,2640.268,2642.468,0.3597
1735815300000,2025-01-02,10:55:00,2642.424,2642.848,2641.628,2642.488,0.1883
