feature,mean,std,min,max
ret_1,0.00047617490875305344,0.08501169194018482,-2.1300645286109754,2.9020095955238023
ret_5,0.0023836786491396467,0.19041732176922643,-4.926236634598558,4.57768749919325
ret_10,0.004760750214391397,0.2692971023702419,-6.981414320863866,4.278865786976427
ret_20,0.009507662425317977,0.37715339863483194,-7.143342862505209,5.145958075335821
ret_50,0.023779316754529316,0.5919523000526242,-7.419252750892968,7.044960647175702
body_pct,0.011160519383949666,0.5321310923001251,-1.0,1.0
upper_wick_pct,0.2637922388490287,0.21095680393937405,0.0,1.0
lower_wick_pct,0.2737632769551027,0.21445907643528414,0.0,1.0
range_pct,0.10366123688927427,0.09396033540684764,0.0023000446591983745,4.073583130428279
gap_pct,-3.480247191333055e-06,0.015887361937023715,-2.3580900096588806,1.7959347173305824
dist_ema_9,0.0017449700432249841,0.11345542282953178,-3.2879591323075155,2.9954622456095046
dist_ema_21,0.004382887628732742,0.18454469096054002,-4.615197363834634,3.8680575662941474
dist_ema_50,0.010788641600593382,0.29142485559340203,-5.976126445187519,4.292149826785144
dist_ema_100,0.02188027542791869,0.4175723194154286,-6.555924492788673,4.551459544521968
dist_ema_200,0.04402246318679945,0.6016378171234125,-8.447315877927274,5.408799570953365
ema_9_slope,0.0022708177356465333,0.12050310005051917,-3.195263822543315,2.144876049793898
ema_21_slope,0.002235246256162392,0.08561193271461172,-2.0534748155705995,1.2830306853501616
ema_50_slope,0.002221818801445824,0.05756949792323818,-1.0797811770961285,0.6216735002664509
ema_100_slope,0.0022207790699361792,0.041496108811880324,-0.5848123927056581,0.3382976018902806
ema_200_slope,0.0022177639724301457,0.029992021240380466,-0.37743873115675397,0.20920190378286296
ema_9_21_ratio,0.002574590187101791,0.09257982429819318,-1.971906491382498,1.0549933377374145
ema_21_50_ratio,0.006254827813790045,0.1444386477099506,-1.7622029509033013,1.1653409208977905
ema_50_100_ratio,0.010791555712397058,0.173096475707381,-1.682986300756852,1.013484441301273
ema_100_200_ratio,0.02150955189727508,0.2510361051792933,-2.467940346370014,1.3097818415094338
atr,4.029423269740472,3.611347552769012,0.33991639772086646,86.72749799122688
atr_pct,0.10388432512842549,0.07373373886761997,0.012930856463225327,1.6936599281785234
vol_std_10,0.06549104499947984,0.05415932638582138,0.004849289136690742,1.1492743749768302
vol_std_50,0.06981814363954741,0.04854988476639594,0.013103421297664425,0.6287592512161496
vol_ratio,0.9526016191448133,0.3499839597037476,0.08869640308194258,2.2441944857044542
atr_ratio,0.986339736550463,0.22930883407817934,0.34120387744780906,2.55573870308609
rsi_7,51.14992725936884,16.408674430796165,2.5568325315746847,98.43393497268352
